capture_date,run_id,seq,name,step,total,seg,seg_total,status,complete,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,motor_result,trigger_result,enc_after_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,V10-PREARM-RX,31,LT-OUT2,6,28,3,3,OK,1,-5.33,5.33,-4.00,4.00,"[-0.3262,-0.2645,-1.7327,1.6062]","[0.3229,0.2618,1.7154,1.6223]","[OK,OK,OK,OK]",OK,"[628,-442,5975,5084]","(-6.00,6.20)","(0.00,0.00)","(-6.00,6.20)","(0.63,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,32,CENTER-LT,7,28,1,3,OK,1,-4.00,4.00,-2.67,2.67,"[-0.2437,-0.1808,-1.7205,1.6317]","[0.2412,0.1790,1.7032,1.6481]","[OK,OK,OK,OK]",OK,"[365,-247,4116,3285]","(-4.30,4.50)","(0.00,0.00)","(-4.30,4.50)","(0.41,-0.71)",GOOD,""
2026-07-25,V10-PREARM-RX,33,CENTER-LT,7,28,2,3,OK,1,-2.67,2.67,-1.33,1.33,"[-0.1597,-0.0960,-1.7067,1.6541]","[0.1581,0.0951,1.6896,1.6706]","[OK,OK,OK,OK]",OK,"[192,-143,2272,1462]","(-2.00,1.70)","(0.00,0.00)","(-2.00,1.70)","(0.18,-0.29)",GOOD,""
2026-07-25,V10-PREARM-RX,34,CENTER-LT,7,28,3,3,OK,1,-1.33,1.33,0.00,0.00,"[-0.0747,-0.0107,-1.6912,1.6738]","[0.0740,0.0106,1.6743,1.6905]","[OK,OK,OK,OK]",OK,"[111,-131,445,-382]","(-0.10,-0.90)","(0.00,0.00)","(-0.10,-0.90)","(-0.03,0.13)",GOOD,""
2026-07-25,V10-PREARM-RX,36,RT-IN1,8,28,1,3,OK,1,0.00,0.00,1.33,1.33,"[1.6912,-1.6738,0.0747,0.0107]","[1.7081,1.6571,0.0755,0.0108]","[OK,OK,OK,OK]",OK,"[1863,1808,82,-11]","(1.80,1.40)","(0.00,0.00)","(1.80,1.40)","(-0.18,-0.21)",GOOD,""
2026-07-25,V10-PREARM-RX,37,RT-IN1,8,28,2,3,OK,1,1.33,1.33,2.67,2.67,"[1.7067,-1.6541,0.1597,0.0960]","[1.7238,1.6376,0.1613,0.0970]","[OK,OK,OK,OK]",OK,"[3745,3595,258,-118]","(3.10,2.90)","(0.00,0.00)","(3.10,2.90)","(-0.31,-0.41)",GOOD,""
2026-07-25,V10-PREARM-RX,38,RT-IN1,8,28,3,3,OK,1,2.67,2.67,4.00,4.00,"[1.7205,-1.6317,0.2437,0.1808]","[1.7377,1.6154,0.2461,0.1826]","[OK,OK,OK,OK]",OK,"[5640,5358,527,-317]","(4.80,4.30)","(0.00,0.00)","(4.80,4.30)","(-0.47,-0.61)",GOOD,""
2026-07-25,V10-PREARM-RX,39,RT-IN2,9,28,1,3,OK,1,4.00,4.00,5.33,5.33,"[1.7327,-1.6062,0.3262,0.2645]","[1.7501,1.5902,0.3295,0.2671]","[OK,OK,OK,OK]",OK,"[7550,7093,887,-608]","(6.60,5.80)","(0.00,0.00)","(6.60,5.80)","(-0.68,-0.81)",GOOD,""
2026-07-25,V10-PREARM-RX,40,RT-IN2,9,28,2,3,OK,1,5.33,5.33,6.67,6.67,"[1.7438,-1.5770,0.4069,0.3466]","[1.7612,1.5613,0.4109,0.3500]","[OK,OK,OK,OK]",OK,"[9472,8797,1335,-990]","(8.20,7.40)","(0.00,0.00)","(8.20,7.40)","(-0.79,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,41,RT-IN2,9,28,3,3,OK,1,6.67,6.67,8.00,8.00,"[1.7537,-1.5435,0.4852,0.4267]","[1.7712,1.5281,0.4901,0.4309]","[OK,OK,OK,OK]",OK,"[11405,10464,1870,-1460]","(10.00,8.60)","(0.00,0.00)","(10.00,8.60)","(-0.99,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,42,RT-APP,10,28,1,5,OK,1,8.00,8.00,8.80,8.80,"[1.0566,-0.9080,0.3277,0.2935]","[1.0671,0.8989,0.3310,0.2964]","[OK,OK,OK,OK]",OK,"[12570,11447,2231,-1784]","(11.00,9.50)","(0.00,0.00)","(11.00,9.50)","(-1.00,-1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,43,RT-APP,10,28,2,5,TIMEOUT,0,8.80,8.80,9.60,9.60,"[1.0596,-0.8928,0.3544,0.3209]","[1.0702,0.8839,0.3579,0.3241]","[OK,TIMEOUT,FRAME_BAD,FRAME_BAD]",FRAME_BAD,"[12570,11445,2231,-1784]","(10.90,9.40)","(0.00,0.00)","(10.90,9.40)","(-1.00,-1.00)",COMM_FAIL,"M2 func=0x10 tx_len=19 rx_len=0 expect=8 elapsed=401ms tx=02 10 00 F0 00 05 0A 00 00 00 F7 03 C5 00 00 02 01 8B B5 rx=; trigger_attempted=0 attempted=0x03 failed_m=2"
